country,review_id,author,rating,title,review_text,date,app_version
co,14306095879,sarojxettri,5,Nice,Best app for money transfer,2026-07-15T06:08:38-07:00,5.5.42
co,14306008742,aasthan,5,Good,Good work,2026-07-15T05:42:57-07:00,5.5.42
in,14305118390,sagar.krl,1,6 momths vayo KYC verify garna try gareko,"ajhai kati time lagne ho, Laaj saram cha ki chaina?",2026-07-15T00:09:08-07:00,5.5.42
np,14306973083,Saroz lama,5,Excellent,Good and super fast,2026-07-15T10:19:55-07:00,5.5.42
np,14306670628,nixzyydagoat,5,Love it,Best app,2026-07-15T08:50:10-07:00,5.5.42
np,14306630143,Jbzapi,5,Good,Nice,2026-07-15T08:38:37-07:00,5.5.42
np,14306467563,Rj Prajwal,4,Nepal Finance,Good performance,2026-07-15T07:52:51-07:00,5.5.42
np,14306427721,Rijan Panday,5,5 star,Excellent very good,2026-07-15T07:41:46-07:00,5.5.42
np,14306415246,Itahari dog shop,5,Avishek,Good scervice,2026-07-15T07:38:19-07:00,5.5.42
np,14306406062,Surendra Gautam,5,Best Payment App in Nepal,"“One of the best payment apps in Nepal. Safe, quick, and easy to use.”",2026-07-15T07:35:46-07:00,5.5.42
np,14306403131,Dilrajay,5,wow,Sah,2026-07-15T07:34:59-07:00,5.5.42
np,14306378275,Aarifhdjdvdhrnrb,5,Vcv,Gyg,2026-07-15T07:28:09-07:00,5.5.42
np,14306268574,Lanshdudbsnsjaodbdjd,4,Sum time system down must be improve,Overall everything is babal,2026-07-15T06:57:41-07:00,5.5.42
np,14306231649,Likxufhgddry,3,Good,Average,2026-07-15T06:47:21-07:00,5.5.42
np,14306155386,Ansari29,4,A easy to use,"and friendly user interface, Sometime server down issues is headaches when you are traveling,",2026-07-15T06:25:46-07:00,5.5.42
np,14306138880,Poker kanxo,5,Superb,Superb,2026-07-15T06:21:01-07:00,5.5.42
np,14306102624,Garamkali,5,Good,Sometimes being error,2026-07-15T06:10:39-07:00,5.5.42
np,14306014978,Prem Pant,5,It’s great,I’m enjoying your services and I’m too giving services throughout your platform..,2026-07-15T05:44:48-07:00,5.5.42
np,14306011616,Rishav5566,1,Worse app to use,Kaam lageko bela server unavailable batao x payment pending ma janx k k hunx,2026-07-15T05:43:48-07:00,5.5.42
np,14306011100,Bishnu bahadur bk,5,Mobile station,best,2026-07-15T05:43:39-07:00,5.5.42
np,14305787810,Yogesh Devkota,1,KYC update,I have face the worthless third class service in my whole life I can’t believe it yasto ni service xa nepal ma auta kyc ko lagi sabbai garda ni 1 month sabba KYC verify hudaina  Rating - ma garna miltheyo vane -5 dintheya,2026-07-15T04:32:44-07:00,5.5.42
