locale,review_id,author,rating,review_text,date,app_version
en-np,4388ef16-5ca0-4f25-bdf7-a193846e72e3,A Google user,4,Thumbs up!!,2014-01-30T16:28:36,1.2.6
en-np,8012522b-3d37-46c0-97ee-ee250a224e4a,A Google user,3,This apps is good,2014-01-30T09:07:41,1.2.6
en-np,fceab2d7-9309-4896-a6d5-6c35dba9b7d7,A Google user,4,Gooood,2014-01-29T15:52:53,1.2.6
en-np,36759c35-806a-4ec6-ab86-00013965e66d,A Google user,5,Excellent app,2014-01-28T16:31:25,
en-np,243d17dd-b5e8-4fca-b0db-89b2672e5a4b,A Google user,5,Easy way to use it. Khatra ho..,2014-01-28T12:15:15,1.2.6
en-np,b2e7b701-8443-46e5-8869-5d0f71464037,A Google user,5,Lovely apps,2014-01-28T05:47:04,1.2.6
en-np,cbdbeec8-a98d-406c-ba22-b9be2f5018cc,A Google user,5,Good,2014-01-28T04:06:40,1.2.6
en-np,dff70618-24c9-43c3-b952-20e05e7bf17b,A Google user,3,"no matter whatever features i try but the result is same i.e. "" SMS could not be sent"".",2014-01-26T04:41:53,1.2.6
en-np,0c9eb4d6-7624-4db2-8690-88af99394c7a,A Google user,5,Make broader like two sim reg. System,2014-01-25T14:42:57,1.2.6
en-np,428502ee-8c82-4508-bebf-6795f89a4bda,A Google user,4,Thikae xa,2014-01-24T14:57:00,1.2.6
en-np,891cc7a7-7f57-467e-9d41-402bb42b17e5,A Google user,5,Good app,2014-01-24T08:25:12,
en-np,f7145eab-834d-4a05-8c7e-33b947e9d279,A Google user,3,good apps,2014-01-21T23:34:56,
en-np,ae7a47a8-6575-4f1a-8a79-b3a884e4b7d5,A Google user,2,"Developer!!! You should be thinking about international market if you do so, it would be getaway for Internet payment. Like PayPal, cashU & we love to use our product.",2014-01-21T19:44:15,1.2.6
en-np,16fabda9-ce89-41db-9161-283b051d0346,A Google user,1,It says sms could not be sent while registering....why????,2014-01-21T15:37:03,1.2.6
en-np,caa8a6f3-c44a-46d5-a4b4-f820f1be1172,A Google user,5,यो सेवाले गर्दा हामिलाई धेरैनै सजीलो भाको छ ।,2014-01-21T14:24:43,1.2.6
en-np,a641c48f-e55a-4a18-8678-fb2b35e74e20,A Google user,5,"Microworkers ,payza,paypal bata send garna milni banam na ho . 30$ cha mero",2014-01-21T05:40:30,1.2.6
en-np,9d95c6c1-c87b-435d-8479-23128d4f672d,A Google user,5,Nice,2014-01-20T13:49:15,1.2.6
en-np,c0300c90-c3ec-4814-b876-ee3ddc232c99,A Google user,3,"the service provided by esewa is extending with lot's of services. but this mobile app is still not updating services like ncell topup, smart cell topup and many more. so developers plz give little effort to this apps. i would like to give only 3 stars but after updating such facilities i would give 5 stars.",2014-01-19T12:11:30,1.2.6
en-np,632f2d9d-276e-464a-b144-736d27ecca60,A Google user,4,K ho yestoO register bhayenaw nee.,2014-01-18T09:04:07,1.2.6
en-np,26261c09-f0e8-42ed-b303-b04f403c3700,A Google user,1,Regeneration hudaina.... I hap tried so many tym.... it always says... sms couldn't b send... plz fix it,2014-01-18T06:04:40,1.2.6
en-np,a8cd05fd-fe1b-415b-8aa1-e0fd4bdb7e2b,A Google user,4,Good,2014-01-16T02:06:53,1.2.5
en-np,334e4ef6-9964-485a-8a43-f6eda65fabba,A Google user,4,Lol,2014-01-14T13:02:15,1.2.6
en-np,63f643e3-969c-4868-83e7-ee8b199fe8e1,A Google user,2,"It is the nice apps. But it could.  be much better if we use this app through internet. Because this is not a mobile banking apps, its a wallet . I dont want to send sms and paid money for each sms. If we operate this apps through pin and internet then it could me much better",2014-01-14T08:14:17,
en-np,d04ddc07-fd78-45a4-954d-399c177e87b0,A Google user,5,nice apps,2014-01-13T09:11:13,1.2.6
en-np,52124fd5-62e1-4fe6-b75a-08fa40faa902,A Google user,5,Good but im 4get any thing not support,2014-01-12T18:55:02,1.2.6
